No,Branch Code,Branch Store Name,Province (Khmer),District (English),District (Khmer),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,Phone,Type,Status
20,"BANP001","Serei Saophoan","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","កំពង់ស្វាយ","010602","13.59572","102.97069","0316000285","Post office","In effect"
21,"BANS001","Ou Ambel","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","អូរអំបិល","010605","13.5852101","102.9724208","0976868001","Post office","In effect"
22,"BANS002","Paoy Paet","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","និមិត្ដ","011001","13.65887","102.554344","0976868001","Post office","In effect"
23,"BANS003","Thma Puok","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","បន្ទាយឆ្មារ","010701","13.9413014","103.049302","0976868003","Post office","In effect"
24,"BANS004","Srah Chik","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","ស្រះជីក","010305","13.74387","103.33588","0976868004","Post office","In effect"
25,"BCTEST6","BCTEST6","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","ទ្រាស","010807","","","","Post office","Out of effect"
26,"HZ4P01","Head Office Z4","Banteay Meanchey","Head Office Z4","Head Office Z4","Head Office Z4","","","","","Phòng ban","In effect"
27,"BATA001","Chomkar Somraong","Battambang","Battambang","បាត់ដំបង","ចំការសំរោង","020304","13.129832","103.198146","092281838","Authorized Dealer/ Authorized Agent","In effect"
28,"BATA002","Kampong Prieng","Battambang","Sangkae","សង្កែ","កំពង់ព្រៀង","020806","12.9489","103.3383","0313804400","Authorized Dealer/ Authorized Agent","In effect"
29,"BATA003","Phnum Sampov","Battambang","Banan","បាណន់","ភ្នំសំពៅ","020106","13.0296","103.1009","0975055550","Authorized Dealer/ Authorized Agent","In effect"
30,"BATA004","Vaot Ta Muem 01","Battambang","Sangkae","សង្កែ","វត្ដតាមិម","020810","13.0627","103.2032","0889678999","Authorized Dealer/ Authorized Agent","In effect"
31,"BATA005","Tuol Ta Ek","Battambang","Battambang","បាត់ដំបង","ទួលតាឯក","020301","13.09573","103.190527","0977705535","Authorized Dealer/ Authorized Agent","In effect"
32,"BATA006","Moung","Battambang","Moung Ruessei","មោងឫស្សី","មោង","020601","12.775837","103.448387","0976083766","Authorized Dealer/ Authorized Agent","In effect"
33,"BATA007","Snoeng","Battambang","Banan","បាណន់","ស្នឹង","020107","12.9784","103.0544","0888876795","Authorized Dealer/ Authorized Agent","In effect"
34,"BATA008","Vaot Ta Muem 02","Battambang","Sangkae","សង្កែ","វត្ដតាមិម","020810","13.03679","103.20173","0712700200","Authorized Dealer/ Authorized Agent","In effect"
35,"BATA009","REM SOCHEA","Battambang","Rotonak Mondol","រតនមណ្ឌល","រស្មីសង្ហារ","020705","13.265685","102.945134","0889977774","Authorized Dealer/ Authorized Agent","In effect"
36,"BATA010","Santepheap","Battambang","Sampov Lun","សំពៅលូន","សន្ដិភាព","021004","13.432283","102.366176","0719596977","Authorized Dealer/ Authorized Agent","In effect"
37,"BATA011","Boeng Reang","Battambang","Kamrieng","កំរៀង","បឹងរាំង","021202","13.087139","102.446107","067843333","Authorized Dealer/ Authorized Agent","In effect"
38,"BATA012","Bour","Battambang","Phnum Proek","ភ្នំព្រឹក","បួរ","021103","13.283736","102.615651","0884477766","Authorized Dealer/ Authorized Agent","In effect"
39,"BATA013","Pech Chenda 01","Battambang","Phnum Proek","ភ្នំព្រឹក","ពេជ្រចិន្ដា","021102","13.222725","102.391644","0977878161","Authorized Dealer/ Authorized Agent","In effect"
40,"BATA014","Pech Chenda 02","Battambang","Phnum Proek","ភ្នំព្រឹក","ពេជ្រចិន្ដា","021102","13.2117","102.532803","0977777893","Authorized Dealer/ Authorized Agent","In effect"
41,"BATA015","Sdok Pravoek","Battambang","Rukh Kiri","រុក្ខគិរី","ស្តុកប្រវឹក","021404","12.603483","103.490935","0716709006","Authorized Dealer/ Authorized Agent","In effect"
42,"BATA016","Ta Kream","Battambang","Banan","បាណន់","តាគ្រាម","020108","13.090324","103.023334","0717111122","Authorized Dealer/ Authorized Agent","In effect"
43,"BATA017","Ta Sanh","Battambang","Samlout","សំឡូត","តាសាញ","020907","12.616636","102.858967","0714776666","Authorized Dealer/ Authorized Agent","In effect"
44,"BATA018","Kampong Lpov","Battambang","Samlout","សំឡូត","កំពង់ល្ពៅ","020902","12.543875","102.865274","066811551","Authorized Dealer/ Authorized Agent","In effect"
45,"BATA019","Traeng","Battambang","Rotonak Mondol","រតនមណ្ឌល","ត្រែង","020704","12.832975","102.894727","0714263333","Authorized Dealer/ Authorized Agent","In effect"
46,"BATA021","Preaek Chik","Battambang","Rukh Kiri","រុក្ខគិរី","ព្រែកជីក","021401","12.651708","103.396619","0719462246","Authorized Dealer/ Authorized Agent","In effect"
47,"BATA022","Bavel","Battambang","Bavel","បវេល","បវេល","020401","13.256093","102.875914","060244232","Authorized Dealer/ Authorized Agent","In effect"
48,"BATA023","Chrey","Battambang","Thma Koul","ថ្មគោល","ជ្រៃ","020204","13.112873","103.136953","068444789","Authorized Dealer/ Authorized Agent","In effect"
49,"BATA024","Boeng Pring","Battambang","Thma Koul","ថ្មគោល","បឹងព្រីង","020207","13.366959","103.034112","0719066617","Authorized Dealer/ Authorized Agent","In effect"
50,"BATA025","Ta Pung","Battambang","Thma Koul","ថ្មគោល","តាពូង","020201","13.264179","103.089398","066864422","Authorized Dealer/ Authorized Agent","In effect"
51,"BATA026","Svay Por","Battambang","Battambang","បាត់ដំបង","ស្វាយប៉ោ","020310","13.0859","103.1988","0886888897","Authorized Dealer/ Authorized Agent","In effect"
52,"BATA027","Ou Ta Ki","Battambang","Thma Koul","ថ្មគោល","អូរតាគី","020203","13.167237","103.112915","0318424242","Authorized Dealer/ Authorized Agent","In effect"
53,"BATA028","Ta Sda","Battambang","Sampov Lun","សំពៅលូន","តាស្ដា","021003","13.404488","102.455575","0314157888","Authorized Dealer/ Authorized Agent","In effect"
54,"BATA029","Thipakdei","Battambang","Koas Krala","គាស់ក្រឡ","ធិបតី","021301","12.856523","103.26872","0979928802","Authorized Dealer/ Authorized Agent","In effect"
55,"BATA030","Prey Svay","Battambang","Moung Ruessei","មោងឫស្សី","ព្រៃស្វាយ","020603","12.713477","103.544657","0319992324","Authorized Dealer/ Authorized Agent","In effect"
56,"BATA032","Sdau","Battambang","Rotonak Mondol","រតនមណ្ឌល","ស្ដៅ","020701","12.891503","102.973863","0886384445","Authorized Dealer/ Authorized Agent","In effect"
57,"BATA033","Ampil Pram Daeum","Battambang","Bavel","បវេល","អំពិលប្រាំដើម","020405","13.260059","102.767866","0886666033","Authorized Dealer/ Authorized Agent","In effect"
58,"BATA034","Ou Char","Battambang","Battambang","បាត់ដំបង","អូរចារ","020309","13.1076","103.1755","090471804","Authorized Dealer/ Authorized Agent","In effect"
59,"BATA035","Anlung Vil","Battambang","Sangkae","សង្កែ","អន្លង់វិល","020801","13.0624","103.2563","0718525353","Authorized Dealer/ Authorized Agent","In effect"
60,"BATA036","Vaot Ta Muem","Battambang","Sangkae","សង្កែ","វត្ដតាមិម","020810","13.01234","103.187065","0889595557","Authorized Dealer/ Authorized Agent","In effect"
61,"BATA037","Peam Aek","Battambang","Aek Phnum","ឯកភ្នំ","ពាមឯក","020505","13.161","103.2086","0973366686","Authorized Dealer/ Authorized Agent","In effect"
62,"BATA038","Prey Khpos","Battambang","Bavel","បវេល","ព្រៃខ្ពស់","020404","13.347834","102.905611","0979676228","Authorized Dealer/ Authorized Agent","In effect"
63,"BATA039","Mukh Rea","Battambang","Rukh Kiri","រុក្ខគិរី","មុខរាហ៍","021403","12.77559","103.448243","0979655007","Authorized Dealer/ Authorized Agent","In effect"
64,"BATA040","Prek Preah Sdach","Battambang","Battambang","បាត់ដំបង","ព្រែកព្រះស្ដេច","020302","13.0887","103.2127","0718378888","Authorized Dealer/ Authorized Agent","In effect"
65,"BATA041","Moung Ruessei","Battambang","Moung Ruessei","មោងឫស្សី","មោង","020601","12.903065","103.3680416","0965244331","Authorized Dealer/ Authorized Agent","In effect"
66,"BATP001","Battambang","Battambang","Battambang","បាត់ដំបង","ទួលតាឯក","020301","13.106159","103.195737","0972277127","Post office","In effect"
67,"BATS001","Tuol Ta Ek","Battambang","Battambang","បាត់ដំបង","ទួលតាឯក","020301","13.095671","103.190739","0972282257","Post office","In effect"
68,"BATS002","Ta Pung","Battambang","Thma Koul","ថ្មគោល","តាពូង","020201","13.269928","103.089933","0888894466","Post office","In effect"
69,"BATS003","Boeng Reang","Battambang","Kamrieng","កំរៀង","បឹងរាំង","021202","13.088761","102.445678","","Post office","In effect"
70,"BATS004","Santepheap","Battambang","Sampov Lun","សំពៅលូន","សន្ដិភាព","021004","13.431886","102.376649","","Post office","In effect"
71,"BATS005","Sdau","Battambang","Rotonak Mondol","រតនមណ្ឌល","ស្ដៅ","020701","12.892662","102.97397","068444789","Post office","In effect"
72,"BATS006","Bavel","Battambang","Bavel","បវេល","បវេល","020401","13.25407","102.873046","090929939","Post office","In effect"
73,"BATS007","Moung","Battambang","Moung Ruessei","មោងឫស្សី","មោង","020601","12.775514","103.447784","0885676516","Post office","In effect"
74,"BATS008","Sdau","Battambang","Rotonak Mondol","រតនមណ្ឌល","ស្ដៅ","020701","12.5333","102.5826","","Post office","In effect"
75,"DVCZ2","Vehicle Team Z2","Battambang","Banan","បាណន់","ឈើទាល","020104","","","","Transportation Team/ Delivery Team/ Shipping Team","In effect"
76,"HUBBAT01","Hub vùng HUBBAT01","Battambang","Hub vùng HUBBAT01","Hub vùng HUBBAT01","Hub vùng HUBBAT01","","13.338261812530442","103.08321449677263","","Regional Warehouse","Out of effect"
77,"HZ3P01","Head Office Z3","Battambang","Head Office Z3","Head Office Z3","Head Office Z3","","","","","Phòng ban","In effect"
78,"KVBAT01","Kho vùng BAT","Battambang","Koas Krala","គាស់ក្រឡ","ដូនបា","021305","","","","Regional Warehouse","Out of effect"
79,"CHAA001","Peam Prathnuoh","កំពង់ចាម","Kaoh Soutin","កោះសូទិន","ពាមប្រធ្នោះ","030806","11.892662","105.428499","0888664145","Authorized Dealer/ Authorized Agent","In effect"
80,"CHAA002","Chrey Vien","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","ជ្រៃវៀន","031303","12.058398","105.257688","067665432","Authorized Dealer/ Authorized Agent","In effect"
81,"CHAA003","Kor","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","គរ","031305","12.11317","105.21706","066666642","Authorized Dealer/ Authorized Agent","In effect"
82,"CHAA004","Sandaek","កំពង់ចាម","Batheay","បាធាយ","សណ្ដែក","030108","12.123065","104.970836","0886341117","Authorized Dealer/ Authorized Agent","In effect"
83,"CHAA005","Me Sar Chrey","កំពង់ចាម","Stueng Trang","ស្ទឹងត្រង់","មេសរជ្រៃ","031505","12.29968","105.419272","060373336","Authorized Dealer/ Authorized Agent","In effect"
84,"CHAA006","Peam Chi Kang","កំពង់ចាម","Kang Meas","កងមាស","ពាមជីកង","030704","11.946622","105.247515","0979008412","Authorized Dealer/ Authorized Agent","In effect"
85,"CHAA007","Ta Prok","កំពង់ចាម","Chamkar Leu","ចំការលើ","តាប្រុក","030208","12.376818","105.222342","0714862222","Authorized Dealer/ Authorized Agent","In effect"
86,"CHAA008","Thma Pun","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","ថ្មពូន","031313","12.162685","105.246162","0313100028","Authorized Dealer/ Authorized Agent","In effect"
87,"CHAA009","Tang Krang","កំពង់ចាម","Batheay","បាធាយ","តាំងក្រាំង","030109","11.885387","104.935627","0716601215","Authorized Dealer/ Authorized Agent","In effect"
88,"CHAA010","Bos Khnor","កំពង់ចាម","Chamkar Leu","ចំការលើ","បុសខ្នុរ","030201","12.180892","105.322863","0717774841","Authorized Dealer/ Authorized Agent","In effect"
89,"CHAA011","Lvea","Battambang","Bavel","បវេល","ល្វា","020403","12.057856","105.181435","0319621863","Authorized Dealer/ Authorized Agent","In effect"
90,"CHAA012","Khvet Thum","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","ខ្វិតធំ","031304","12.059258","105.211236","0976561888","Authorized Dealer/ Authorized Agent","In effect"
91,"CHAA013","Chealea","កំពង់ចាម","Batheay","បាធាយ","ជាលា","030103","11.9945","104.9433","0977713334","Authorized Dealer/ Authorized Agent","In effect"
92,"CHAA014","Batheay","កំពង់ចាម","Batheay","បាធាយ","បាធាយ","030101","12.027384","104.962943","0716363168","Authorized Dealer/ Authorized Agent","In effect"
93,"CHAA015","Soutib","កំពង់ចាម","Cheung Prey","ជើងព្រៃ","សូទិព្វ","030308","12.05615","105.074797","0979431314","Authorized Dealer/ Authorized Agent","In effect"
94,"CHAA016","Veal Vung","កំពង់ចាម","Kampong Cham","កំពង់ចាម","វាលវង់","030504","11.979458","105.458557","0718010101","Authorized Dealer/ Authorized Agent","In effect"
95,"CHAA017","Areak Tnaot","កំពង់ចាម","Stueng Trang","ស្ទឹងត្រង់","អារក្សត្នោត","031501","12.362246","105.587401","0973399000","Authorized Dealer/ Authorized Agent","In effect"
96,"CHAA018","Kampong Cham","កំពង់ចាម","Kampong Cham","កំពង់ចាម","បឹងកុក","030501","11.991004","105.466677","0974128678","Authorized Dealer/ Authorized Agent","In effect"
97,"CHAA019","Roka Koy","កំពង់ចាម","Kang Meas","កងមាស","រកាគយ","030709","11.9412","105.3009","0977644227","Authorized Dealer/ Authorized Agent","In effect"
98,"CHAA020","Hanchey","កំពង់ចាម","Kampong Siem","កំពង់សៀម","ហាន់ជ័យ","030602","12.1363","105.5264","0713333612","Authorized Dealer/ Authorized Agent","In effect"
99,"CHAA021","Svay Pou","កំពង់ចាម","Srei Santhor","ស្រីសន្ធរ","ស្វាយពោធិ","031412","11.780832","105.081073","068536475","Authorized Dealer/ Authorized Agent","In effect"
100,"CHAA022","Preak Kak","កំពង់ចាម","Stueng Trang","ស្ទឹងត្រង់","ព្រែកកក់","031510","12.258039","105.533665","0888855293","Authorized Dealer/ Authorized Agent","In effect"
101,"CHAA023","Preak Rumdeng","កំពង់ចាម","Srei Santhor","ស្រីសន្ធរ","ព្រែករំដេង","031410","11.9178","105.23044","0884421662","Authorized Dealer/ Authorized Agent","In effect"
102,"CHAA024","Tumnob","កំពង់ចាម","Batheay","បាធាយ","ទំនប់","030112","12.080426","104.975446","090999000","Authorized Dealer/ Authorized Agent","In effect"
103,"CHAA025","Lom Hae","ស្វាយរៀង","Romeas Haek","រមាសហែក","អំពិល","200401","11.992734","105.451041","0977865168","Authorized Dealer/ Authorized Agent","In effect"
104,"CHAP001","Kampong Cham","កំពង់ចាម","Kampong Cham","កំពង់ចាម","បឹងកុក","030501","11.989084","105.462284","067981954","Post office","In effect"
105,"CHAS001","Veal Vung","កំពង់ចាម","Kampong Cham","កំពង់ចាម","វាលវង់","030504","11.989346","105.458567","0884531122","Post office","In effect"
106,"CHAS002","Preak Kak","កំពង់ចាម","Stueng Trang","ស្ទឹងត្រង់","ព្រែកកក់","031510","12.255298","105.539182","0718040003","Post office","In effect"
107,"CHAS003","Soutib","កំពង់ចាម","Cheung Prey","ជើងព្រៃ","សូទិព្វ","030308","12.053318","105.056898","0977310368","Post office","In effect"
108,"CHAS004","Chrey Vien","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","ជ្រៃវៀន","031303","12.057873","105.247003","060958251","Post office","In effect"
109,"CHAS005","Svay Teab","កំពង់ចាម","Chamkar Leu","ចំការលើ","ស្វាយទាប","030206","12.3140397","105.2777613","0978122251","Post office","In effect"
110,"CHHA001","Ou Ruessei 01","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","អូរឫស្សី","040506","11.939555","104.714322","0979256868","Authorized Dealer/ Authorized Agent","In effect"
111,"CHHA002","Pongro","កំពង់ចាម","Kaoh Soutin","កោះសូទិន","ពង្រ","030807","12.257837","104.660942","0882356429","Authorized Dealer/ Authorized Agent","In effect"
112,"CHHA003","Ou Ruessei 02","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","អូរឫស្សី","040506","11.9517","104.7185","068519717","Authorized Dealer/ Authorized Agent","In effect"
113,"CHHA004","Saeb","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","សែប","040508","12.0705","104.773","0974989014","Authorized Dealer/ Authorized Agent","In effect"
114,"CHHA005","Peani","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","ពានី","040507","11.9234","104.7013","0885871084","Authorized Dealer/ Authorized Agent","In effect"
115,"CHHA006","Ta Ches","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","តាជេស","040509","12.236991","104.669291","0314443535","Authorized Dealer/ Authorized Agent","In effect"
116,"CHHA007","Prey Kri 01","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","ព្រៃគ្រី","040205","12.164788","104.881038","0715975858","Authorized Dealer/ Authorized Agent","In effect"
117,"CHHA008","Peam Chhkaok","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","ពាមឆ្កោក","040204","12.207648","104.816967","0718431010","Authorized Dealer/ Authorized Agent","In effect"
118,"CHHA009","Krang Skear","កំពង់ឆ្នាំង","Tuek Phos","ទឹកផុស","ក្រាំងស្គារ","040806","12.238376","104.278047","0712847871","Authorized Dealer/ Authorized Agent","In effect"
119,"CHHA010","Chhnok Tru","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","ឆ្នុកទ្រូ","040102","12.50071","104.4547","0883322881","Authorized Dealer/ Authorized Agent","In effect"
120,"CHHA011","Svay Chrum","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","ស្វាយជ្រុំ","040612","12.279551","104.591655","0716555440","Authorized Dealer/ Authorized Agent","In effect"
121,"CHHA012","Trangel","កំពង់ឆ្នាំង","Kampong Leaeng","កំពង់លែង","ត្រងិល","040409","12.2854","104.729588","0718488815","Authorized Dealer/ Authorized Agent","In effect"
122,"CHHA013","Phsar","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","ផ្សារ","040107","12.381489","104.487486","0979474183","Authorized Dealer/ Authorized Agent","In effect"
123,"CHHA014","Krang Leav","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","ក្រាំងលាវ","040606","12.26828","104.610975","0979588987","Authorized Dealer/ Authorized Agent","In effect"
124,"CHHA015","Chrey Bak","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","ជ្រៃបាក់","040604","12.198668","104.653831","0883444423","Authorized Dealer/ Authorized Agent","In effect"
125,"CHHA016","Chieb","កំពង់ឆ្នាំង","Tuek Phos","ទឹកផុស","ជៀប","040802","12.257837","104.660942","090649635","Authorized Dealer/ Authorized Agent","In effect"
126,"CHHA017","Prey Kri 02","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","ព្រៃគ្រី","040205","12.257837","104.660942","0975686565","Authorized Dealer/ Authorized Agent","In effect"
127,"CHHA018","Rolea B'ier","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","អណ្ដូងស្នាយ","040601","12.236872","104.669272","067334452","Authorized Dealer/ Authorized Agent","In effect"
128,"CHHA019","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","ផ្សារឆ្នាំង","040301","12.246661","104.671258","0977267266","Authorized Dealer/ Authorized Agent","In effect"
129,"CHHA020","Krang Lvea","កំពង់ឆ្នាំង","Sameakki Mean Chey","សាមគ្គីមានជ័យ","ក្រាំងល្វា","040703","11.973961","104.561273","0887676940","Authorized Dealer/ Authorized Agent","In effect"
130,"CHHA021","Lungveaek","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","លង្វែក","040505","11.889892","104.708955","0889988927","Authorized Dealer/ Authorized Agent","In effect"
131,"CHHA022","B'er","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","ប្អេរ","040303","12.257863","104.660945","0314892168","Authorized Dealer/ Authorized Agent","In effect"
132,"CHHA023","Rolea Bier","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","អណ្ដូងស្នាយ","040601","12.166712","104.66471","0976688782","Authorized Dealer/ Authorized Agent","In effect"
133,"CHHA024","Phsar Trach","ភ្នំពេញ","Doun Penh","ដូនពេញ","ផ្សារចាស់","120209","11.840042","104.716812","0974446307","Authorized Dealer/ Authorized Agent","In effect"
134,"CHHP001","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","ផ្សារឆ្នាំង","040301","12.259851","104.67255","0978887079","Post office","In effect"
135,"CHHS001","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","ផ្សារឆ្នាំង","040301","12.2529466","104.6681428","0882464009","Post office","In effect"
136,"CHHS002","Peani","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","ពានី","040507","11.9371944","104.7135","","Post office","In effect"
137,"OU RUESSEI 02","Ou Ruessei 02","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","អូរឫស្សី","040506","","","","Authorized Dealer/ Authorized Agent","Out of effect"
138,"KAMTEST01","Ankor Chey","កំពត","Angkor Chey","អង្គរជ័យ","អង្គរជ័យ","070102","","","","Post office","Out of effect"
139,"THUBPNP","Training Hub - PNP","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","ត្រពាំងចាន់","040111","","","0715222126","Regional Warehouse","In effect"
140,"TRAINING01","MF Training 01 - PNP","កំពត","Tuek Chhou","ទឹកឈូ","ត្រពាំងព្រីង","070717","","","0715222123","Post office","In effect"
141,"TRAINING02","MF Training 02 - BAT","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","ភ្នំក្រាំងដីមាស","040614","","","0715222122","Post office","In effect"
142,"TRAINING03","MF Training 03 - PNP","កំពត","Tuek Chhou","ទឹកឈូ","ត្រពាំងព្រីង","070717","","","0715222125","Post office","In effect"
143,"DVCZ3","Vehicle Team Z3","Kampot","Vehicle Team Z3","Vehicle Team Z3","Vehicle Team Z3","","","","","Transportation Team/ Delivery Team/ Shipping Team","In effect"
144,"KAMA001","Banteay Meas Khang Kaeut","កំពត","Banteay Meas","បន្ទាយមាស","បន្ទាយមាសខាងកើត","070201","10.646252","104.655786","0712030403","Authorized Dealer/ Authorized Agent","In effect"
145,"KAMA002","Tnoat Chong Srang","កំពត","Banteay Meas","បន្ទាយមាស","ត្នោតចុងស្រង់","070209","10.590003","104.690418","0885966105","Authorized Dealer/ Authorized Agent","In effect"
146,"KAMA003","Preaek Kroes","កំពត","Kampong Trach","កំពង់ត្រាច","ព្រែកក្រឹស","070612","10.540408","104.580345","0974442111","Authorized Dealer/ Authorized Agent","In effect"
147,"KAMA005","Chhuk 01","កំពង់ធំ","Prasat Sambour","ប្រាសាទសំបូរ","ឈូក","060501","10.766813","104.495433","060925556","Authorized Dealer/ Authorized Agent","In effect"
148,"KAMA006","KEP","Kampot","KEP","KEP","KEP","","105.59244","104.3895","067872737","Authorized Dealer/ Authorized Agent","In effect"
149,"KAMA007","Phnum Kong","កំពត","Angkor Chey","អង្គរជ័យ","ភ្នំកុង","070108","10.774704","104.663157","090855599","Authorized Dealer/ Authorized Agent","In effect"
150,"KAMA008","Lbaeuk","កំពត","Chhuk","ឈូក","ល្បើក","070308","10.826849","104.372241","0979907211","Authorized Dealer/ Authorized Agent","In effect"
151,"KAMA009","Dang Tung 01","កំពត","Dang Tong","ដងទង់","ដំណាក់សុក្រំ","070501","10.769814","104.373538","0719709797","Authorized Dealer/ Authorized Agent","In effect"
